graph type,n,p,algorithm,time,alloc
B,100,128,dijkstra,221,409794752
B,100,16,dijkstra,204,412395896
B,100,2,dijkstra,218,413996464
B,100,256,dijkstra,213,410286704
B,100,32,dijkstra,227,409725648
B,100,4,dijkstra,230,414002536
B,100,64,dijkstra,220,409617512
B,100,8,dijkstra,218,413785184
B,150,128,dijkstra,805,1349258016
B,150,16,dijkstra,808,1363432856
B,150,2,dijkstra,780,1366083584
B,150,256,dijkstra,813,1350850648
B,150,32,dijkstra,804,1360574600
B,150,4,dijkstra,812,1366190560
B,150,64,dijkstra,811,1351018416
B,150,8,dijkstra,812,1365695848
B,200,128,dijkstra,1954,3160981264
B,200,16,dijkstra,1951,3196379736
B,200,2,dijkstra,1997,3198896184
B,200,256,dijkstra,1992,3157871664
B,200,32,dijkstra,1935,3185074480
B,200,4,dijkstra,1961,3198957280
B,200,64,dijkstra,1977,3159523616
B,200,8,dijkstra,2013,3198762208
B,250,128,dijkstra,3783,6118678968
B,250,16,dijkstra,3796,6198151800
B,250,2,dijkstra,3869,6200087664
B,250,256,dijkstra,3738,6110644648
B,250,32,dijkstra,3871,6187648056
B,250,4,dijkstra,3804,6200162976
B,250,64,dijkstra,3851,6136124944
B,250,8,dijkstra,3827,6199844912
B,300,128,dijkstra,6526,10516350432
B,300,16,dijkstra,6880,10655467808
B,300,2,dijkstra,6674,10658040400
B,300,256,dijkstra,6863,10520654384
B,300,32,dijkstra,6749,10636759952
B,300,4,dijkstra,6812,10658209464
B,300,64,dijkstra,6680,10573156448
B,300,8,dijkstra,6982,10657928176
B,350,128,dijkstra,10952,16624951752
B,350,16,dijkstra,10628,16854510800
B,350,2,dijkstra,11017,16855441448
B,350,256,dijkstra,10541,16605832400
B,350,32,dijkstra,11228,16845863472
B,350,4,dijkstra,11560,16855540392
B,350,64,dijkstra,10804,16787930704
B,350,8,dijkstra,10530,16855351112
B,400,128,dijkstra,15690,24785153952
B,400,16,dijkstra,15618,25086603144
B,400,2,dijkstra,16091,25089596816
B,400,256,dijkstra,15728,24778566016
B,400,32,dijkstra,16889,25074065344
B,400,4,dijkstra,16948,25089699920
B,400,64,dijkstra,16603,24984386760
B,400,8,dijkstra,15792,25089149320
B,50,128,dijkstra,26,54682320
B,50,16,dijkstra,26,54658880
B,50,2,dijkstra,31,54927352
B,50,256,dijkstra,31,54721824
B,50,32,dijkstra,31,54455928
B,50,4,dijkstra,28,54907624
B,50,64,dijkstra,30,54618304
B,50,8,dijkstra,31,54883624
C,100,128,dijkstra,215,411177480
C,100,16,dijkstra,237,419560912
C,100,2,dijkstra,213,419671080
C,100,256,dijkstra,213,408160352
C,100,32,dijkstra,223,417819560
C,100,4,dijkstra,212,419694288
C,100,64,dijkstra,218,412991056
C,100,8,dijkstra,243,419732152
C,150,128,dijkstra,857,1356730736
C,150,16,dijkstra,861,1385779152
C,150,2,dijkstra,894,1386301264
C,150,256,dijkstra,842,1353725176
C,150,32,dijkstra,958,1381719040
C,150,4,dijkstra,845,1386357800
C,150,64,dijkstra,872,1367796800
C,150,8,dijkstra,885,1386342240
C,200,128,dijkstra,1989,3175363312
C,200,16,dijkstra,1991,3247500696
C,200,2,dijkstra,2238,3247674584
C,200,256,dijkstra,1943,3161802424
C,200,32,dijkstra,2242,3246003808
C,200,4,dijkstra,2528,3247748216
C,200,64,dijkstra,2272,3220821520
C,200,8,dijkstra,2026,3247859296
C,250,128,dijkstra,4525,6188979528
C,250,16,dijkstra,3978,6297191656
C,250,2,dijkstra,3970,6297498016
C,250,256,dijkstra,3908,6144498792
C,250,32,dijkstra,3963,6293008808
C,250,4,dijkstra,3949,6297604096
C,250,64,dijkstra,3930,6257950528
C,250,8,dijkstra,3933,6297732496
C,300,128,dijkstra,6799,10651131056
C,300,16,dijkstra,6770,10828290192
C,300,2,dijkstra,6906,10827972312
C,300,256,dijkstra,6662,10575029176
C,300,32,dijkstra,6897,10823852952
C,300,4,dijkstra,7099,10828057664
C,300,64,dijkstra,7643,10791284336
C,300,8,dijkstra,7480,10828238224
C,350,128,dijkstra,11030,16940561336
C,350,16,dijkstra,10674,17128949104
C,350,2,dijkstra,10844,17128599512
C,350,256,dijkstra,10660,16708326832
C,350,32,dijkstra,10817,17128106616
C,350,4,dijkstra,10679,17128713008
C,350,64,dijkstra,10837,17065687176
C,350,8,dijkstra,10786,17128891520
C,400,128,dijkstra,16714,25282560736
C,400,16,dijkstra,16104,25497813824
C,400,2,dijkstra,16212,25497413448
C,400,256,dijkstra,15673,24872700968
C,400,32,dijkstra,16010,25493380608
C,400,4,dijkstra,16102,25497542576
C,400,64,dijkstra,16107,25457491504
C,400,8,dijkstra,16113,25497846480
C,50,128,dijkstra,32,54903056
C,50,16,dijkstra,28,55591952
C,50,2,dijkstra,26,55560800
C,50,256,dijkstra,31,54891264
C,50,32,dijkstra,27,55107120
C,50,4,dijkstra,30,55572544
C,50,64,dijkstra,30,54924096
C,50,8,dijkstra,30,55569264
U,100,1,dijkstra,234,419657488
U,150,1,dijkstra,812,1386282720
U,200,1,dijkstra,1957,3247646056
U,250,1,dijkstra,3844,6297453480
U,300,1,dijkstra,6655,10827923016
U,350,1,dijkstra,10788,17128532712
U,400,1,dijkstra,16025,25497360912
U,50,1,dijkstra,27,55551168
