graph type,n,p,algorithm,time,alloc
B,100,128,mohri,259,508560576
B,100,16,mohri,400,717627920
B,100,2,mohri,141,265554512
B,100,256,mohri,765,1549336976
B,100,32,mohri,819,1650548560
B,100,4,mohri,97,185882120
B,100,64,mohri,196,396592968
B,100,8,mohri,250,462315832
B,150,128,mohri,1836,3055461328
B,150,16,mohri,3744,6170826152
B,150,2,mohri,356,586182664
B,150,256,mohri,5202,8505076392
B,150,32,mohri,5159,8331844032
B,150,4,mohri,607,964556488
B,150,64,mohri,1931,3158632168
B,150,8,mohri,1104,1792536736
B,200,128,mohri,10423,16443144056
B,200,16,mohri,2967,4676145848
B,200,2,mohri,1731,2774427296
B,200,256,mohri,7436,11689714440
B,200,32,mohri,19592,30875379016
B,200,4,mohri,1823,2901680336
B,200,64,mohri,11638,18308583288
B,200,8,mohri,1525,2368806064
B,250,128,mohri,53048,81477163752
B,250,16,mohri,9315,14289622712
B,250,2,mohri,1759,2699325296
B,250,256,mohri,26698,40668157040
B,250,32,mohri,6073,9168548008
B,250,4,mohri,3541,5388763944
B,250,64,mohri,21743,33452857080
B,250,8,mohri,6692,10271858328
B,300,128,mohri,13360,20368373512
B,300,16,mohri,35003,51554757912
B,300,2,mohri,7767,11562033152
B,300,256,mohri,49456,72827011456
B,300,32,mohri,5556,8391097688
B,300,4,mohri,8554,12751698328
B,300,64,mohri,69784,102445224288
B,300,8,mohri,3632,5375210256
B,350,128,mohri,124578,177333584904
B,350,16,mohri,24364,36725835120
B,350,2,mohri,4999,7390179640
B,350,256,mohri,112076,168319090824
B,350,32,mohri,11099,15620985864
B,350,4,mohri,10436,14907647568
B,350,64,mohri,96297,138888988640
B,350,8,mohri,8537,12968008440
B,400,128,mohri,110805,167033530320
B,400,16,mohri,38774,58697829608
B,400,2,mohri,14428,22097048600
B,400,256,mohri,116687,175306723704
B,400,32,mohri,68661,99380840088
B,400,4,mohri,11985,16512494144
B,400,64,mohri,116931,162665404704
B,400,8,mohri,7632,11614011992
B,50,128,mohri,37,77465568
B,50,16,mohri,30,70689816
B,50,2,mohri,19,37245792
B,50,256,mohri,76,175312192
B,50,32,mohri,47,106496712
B,50,4,mohri,20,27846040
B,50,64,mohri,61,131553720
B,50,8,mohri,12,37987336
C,100,128,mohri,441,854750704
C,100,16,mohri,189,351321448
C,100,2,mohri,75,182365384
C,100,256,mohri,299,513605064
C,100,32,mohri,245,465341704
C,100,4,mohri,88,182632824
C,100,64,mohri,368,707450120
C,100,8,mohri,123,204456888
C,150,128,mohri,1857,2952238552
C,150,16,mohri,729,1128460168
C,150,2,mohri,391,582551208
C,150,256,mohri,1229,1983930736
C,150,32,mohri,1095,1579394888
C,150,4,mohri,394,623462184
C,150,64,mohri,949,1427686672
C,150,8,mohri,390,612520440
C,200,128,mohri,3587,5450993592
C,200,16,mohri,1086,1663876616
C,200,2,mohri,1032,1379064360
C,200,256,mohri,3967,6283032368
C,200,32,mohri,1865,2509327416
C,200,4,mohri,1167,1395963704
C,200,64,mohri,3267,4374298128
C,200,8,mohri,1078,1634936752
C,250,128,mohri,7319,10725610088
C,250,16,mohri,2086,3108238936
C,250,2,mohri,1808,2700101200
C,250,256,mohri,6558,9663285008
C,250,32,mohri,3767,5603531928
C,250,4,mohri,1777,2693485392
C,250,64,mohri,5456,7983978896
C,250,8,mohri,2349,3462556432
C,300,128,mohri,9503,13845440024
C,300,16,mohri,3319,5078306968
C,300,2,mohri,3228,4629631072
C,300,256,mohri,15056,22655064960
C,300,32,mohri,4251,6146822288
C,300,4,mohri,3943,4823846536
C,300,64,mohri,6286,8886210464
C,300,8,mohri,3607,5230363728
C,350,128,mohri,16075,23220258496
C,350,16,mohri,5829,8780429008
C,350,2,mohri,4880,7329897488
C,350,256,mohri,25405,36431719496
C,350,32,mohri,10795,15562272200
C,350,4,mohri,4856,7359666584
C,350,64,mohri,11135,15855443040
C,350,8,mohri,5069,7597787064
C,400,128,mohri,22250,32497816440
C,400,16,mohri,8295,12510877000
C,400,2,mohri,7219,10890143272
C,400,256,mohri,26569,39516427656
C,400,32,mohri,10140,15057392936
C,400,4,mohri,7268,11063306816
C,400,64,mohri,13806,20478985496
C,400,8,mohri,7860,11708550520
C,50,128,mohri,41,88557184
C,50,16,mohri,17,36055792
C,50,2,mohri,13,22889256
C,50,256,mohri,39,80618880
C,50,32,mohri,29,57227424
C,50,4,mohri,16,33583400
C,50,64,mohri,27,59504808
C,50,8,mohri,17,38412208
U,100,1,mohri,76,174730040
U,150,1,mohri,328,582015240
U,200,1,mohri,848,1370580440
U,250,1,mohri,1744,2666425640
U,300,1,mohri,2980,4595550840
U,350,1,mohri,4885,7283956040
U,400,1,mohri,7240,10857641240
U,50,1,mohri,10,22724840
