graph type,n,p,algorithm,time,alloc
B,100,128,mohriKShortest16,8445,8910186416
B,100,16,mohriKShortest16,10547,11133191168
B,100,2,mohriKShortest16,2553,2667533832
B,100,256,mohriKShortest16,53403,57058929328
B,100,32,mohriKShortest16,30383,32732423488
B,100,4,mohriKShortest16,1418,1446950480
B,100,64,mohriKShortest16,22129,23834487096
B,100,8,mohriKShortest16,4988,5306403144
B,150,128,mohriKShortest16,95108,102387459352
B,150,16,mohriKShortest16,52025,56101542216
B,150,2,mohriKShortest16,3384,3564844984
B,150,256,mohriKShortest16,294763,317512712304
B,150,32,mohriKShortest16,119379,128152834592
B,150,4,mohriKShortest16,6328,6578954096
B,150,64,mohriKShortest16,73858,79394056304
B,150,8,mohriKShortest16,16452,17426710144
B,200,128,mohriKShortest16,205254,226590851528
B,200,16,mohriKShortest16,36336,39461895816
B,200,2,mohriKShortest16,10666,11535543448
B,200,256,mohriKShortest16,315762,346350718640
B,200,32,mohriKShortest16,201118,221860617728
B,200,4,mohriKShortest16,15106,16341484144
B,200,64,mohriKShortest16,414122,455721289640
B,200,8,mohriKShortest16,14912,16089344704
B,250,128,mohriKShortest16,1346408,1517159651904
B,250,16,mohriKShortest16,70547,78228384856
B,250,2,mohriKShortest16,12345,13454184744
B,250,256,mohriKShortest16,857190,959106088712
B,250,32,mohriKShortest16,64869,71504570480
B,250,4,mohriKShortest16,15292,16885720688
B,250,64,mohriKShortest16,245191,274673635224
B,250,8,mohriKShortest16,38740,42949887224
B,300,128,mohriKShortest16,487615,539009621088
B,300,16,mohriKShortest16,194392,202629581856
B,300,2,mohriKShortest16,28733,31550661328
B,300,256,mohriKShortest16,1462948,1565061615064
B,300,32,mohriKShortest16,66337,71065177344
B,300,4,mohriKShortest16,52360,56653537632
B,300,64,mohriKShortest16,353441,390045365456
B,300,8,mohriKShortest16,23594,24986468344
B,350,128,mohriKShortest16,2118398,2346529024392
B,350,16,mohriKShortest16,107887,121343630584
B,350,2,mohriKShortest16,18008,18535306472
B,350,256,mohriKShortest16,2087276,2355036359520
B,350,32,mohriKShortest16,85695,92232687096
B,350,4,mohriKShortest16,48519,52499441352
B,350,64,mohriKShortest16,834731,928237439104
B,350,8,mohriKShortest16,53838,60509645720
B,400,128,mohriKShortest16,1410051,1660722825832
B,400,16,mohriKShortest16,189483,220343825016
B,400,2,mohriKShortest16,53337,56523990472
B,400,256,mohriKShortest16,3058470,3601744135448
B,400,32,mohriKShortest16,387168,441090119496
B,400,4,mohriKShortest16,44681,46975312088
B,400,64,mohriKShortest16,858650,978311627688
B,400,8,mohriKShortest16,32279,37045694200
B,50,128,mohriKShortest16,6363,6367678472
B,50,16,mohriKShortest16,2894,2947355064
B,50,2,mohriKShortest16,814,807460464
