graph type,n,p,algorithm,time,alloc
B,100,128,mohrip,163,334060368
B,100,16,mohrip,98,216563232
B,100,2,mohrip,77,175081104
B,100,256,mohrip,135,269245008
B,100,32,mohrip,140,293916632
B,100,4,mohrip,96,175713560
B,100,64,mohrip,162,321234592
B,100,8,mohrip,117,235571288
B,150,128,mohrip,972,1575872064
B,150,16,mohrip,432,722132312
B,150,2,mohrip,356,582940336
B,150,256,mohrip,1358,2157034168
B,150,32,mohrip,520,866414920
B,150,4,mohrip,353,583868736
B,150,64,mohrip,680,1122144400
B,150,8,mohrip,378,608055616
B,200,128,mohrip,2489,3959264344
B,200,16,mohrip,1116,1802688504
B,200,2,mohrip,863,1371318024
B,200,256,mohrip,1636,2619938896
B,200,32,mohrip,1563,2502883552
B,200,4,mohrip,873,1373417576
B,200,64,mohrip,1980,3147393024
B,200,8,mohrip,883,1395970848
B,250,128,mohrip,4231,6509267248
B,250,16,mohrip,1902,2953410848
B,250,2,mohrip,1725,2667601872
B,250,256,mohrip,3708,5710887976
B,250,32,mohrip,2406,3660978184
B,250,4,mohrip,1725,2670959800
B,250,64,mohrip,3768,5699280080
B,250,8,mohrip,1757,2674878872
B,300,128,mohrip,8699,13291105768
B,300,16,mohrip,3456,5070526904
B,300,2,mohrip,3006,4596716488
B,300,256,mohrip,6613,9674027360
B,300,32,mohrip,3881,5856780504
B,300,4,mohrip,3232,4601846480
B,300,64,mohrip,6280,9124421680
B,300,8,mohrip,3170,4636047960
B,350,128,mohrip,14799,21432320504
B,350,16,mohrip,5123,7740319976
B,350,2,mohrip,4964,7286501064
B,350,256,mohrip,12840,19434640728
B,350,32,mohrip,8168,11412964056
B,350,4,mohrip,5230,7292472536
B,350,64,mohrip,8972,13082761072
B,350,8,mohrip,4887,7381072920
B,400,128,mohrip,18884,28655885584
B,400,16,mohrip,7377,11210457056
B,400,2,mohrip,7193,10859423200
B,400,256,mohrip,24905,37567454840
B,400,32,mohrip,10054,14178371480
B,400,4,mohrip,7527,10868574840
B,400,64,mohrip,14799,21160783928
B,400,8,mohrip,7130,10904300952
B,50,128,mohrip,18,39975048
B,50,16,mohrip,13,30456352
B,50,2,mohrip,14,22825064
B,50,256,mohrip,28,47400568
B,50,32,mohrip,23,52215664
B,50,4,mohrip,20,23435456
B,50,64,mohrip,19,42716080
B,50,8,mohrip,12,25494312
C,100,128,mohrip,211,417922952
C,100,16,mohrip,124,221080744
C,100,2,mohrip,94,175551432
C,100,256,mohrip,185,375575512
C,100,32,mohrip,137,265601784
C,100,4,mohrip,90,175838880
C,100,64,mohrip,253,474097912
C,100,8,mohrip,89,176602584
C,150,128,mohrip,1044,1662327104
C,150,16,mohrip,418,688994472
C,150,2,mohrip,400,583102560
C,150,256,mohrip,800,1253256480
C,150,32,mohrip,605,866249712
C,150,4,mohrip,364,584632976
C,150,64,mohrip,661,1035417040
C,150,8,mohrip,367,585708856
C,200,128,mohrip,2165,3312328840
C,200,16,mohrip,935,1441369416
C,200,2,mohrip,989,1372629248
C,200,256,mohrip,2115,3257548816
C,200,32,mohrip,1173,1589661064
C,200,4,mohrip,1145,1374924248
C,200,64,mohrip,1750,2323047232
C,200,8,mohrip,875,1377441464
C,250,128,mohrip,5803,8441239032
C,250,16,mohrip,1831,2721472792
C,250,2,mohrip,1761,2668957912
C,250,256,mohrip,4850,7345973688
C,250,32,mohrip,1964,3056894920
C,250,4,mohrip,1805,2673062856
C,250,64,mohrip,2531,3830401976
C,250,8,mohrip,1771,2677092360
C,300,128,mohrip,8107,12218865104
C,300,16,mohrip,3119,4675488688
C,300,2,mohrip,3103,4599657784
C,300,256,mohrip,10148,15315139032
C,300,32,mohrip,3383,4987919912
C,300,4,mohrip,3539,4605257792
C,300,64,mohrip,4650,6387833536
C,300,8,mohrip,3043,4609729768
C,350,128,mohrip,9937,14497665752
C,350,16,mohrip,4826,7350433032
C,350,2,mohrip,4902,7289570672
C,350,256,mohrip,14127,21306468448
C,350,32,mohrip,5651,8296372784
C,350,4,mohrip,4872,7296369208
C,350,64,mohrip,6670,10013572376
C,350,8,mohrip,4890,7301864064
C,400,128,mohrip,13617,20534681808
C,400,16,mohrip,7395,10943236824
C,400,2,mohrip,7213,10864003360
C,400,256,mohrip,19554,29689679400
C,400,32,mohrip,7753,11607842712
C,400,4,mohrip,7205,10873636832
C,400,64,mohrip,9259,13871096536
C,400,8,mohrip,7183,10883592984
C,50,128,mohrip,19,40456016
C,50,16,mohrip,12,29738192
C,50,2,mohrip,10,22964168
C,50,256,mohrip,24,51487952
C,50,32,mohrip,17,36731520
C,50,4,mohrip,11,24492760
C,50,64,mohrip,18,35787984
C,50,8,mohrip,12,26031536
U,100,1,mohrip,77,174986688
U,150,1,mohrip,363,582443920
U,200,1,mohrip,862,1371190304
U,250,1,mohrip,1723,2667226896
U,300,1,mohrip,3031,4596554432
U,350,1,mohrip,4861,7285161008
U,400,1,mohrip,7059,10859054208
U,50,1,mohrip,10,22828784
