graph type,n,p,algorithm,time,alloc
B,100,128,mohripKShortest20,44974,46617738152
B,100,16,mohripKShortest20,8526,8730450016
B,100,2,mohripKShortest20,2175,2227218752
B,100,256,mohripKShortest20,29527,30655435288
B,100,32,mohripKShortest20,17268,18004843088
B,100,4,mohripKShortest20,1868,1926226296
B,100,64,mohripKShortest20,24636,25555100480
B,100,8,mohripKShortest20,4820,4985170816
B,150,128,mohripKShortest20,67968,71240005880
B,150,16,mohripKShortest20,14625,15149950536
B,150,2,mohripKShortest20,2696,2842715176
B,150,256,mohripKShortest20,87560,91706793904
B,150,32,mohripKShortest20,41982,43802650664
B,150,4,mohripKShortest20,6548,6642715728
B,150,64,mohripKShortest20,49928,52660977464
B,150,8,mohripKShortest20,8915,9159576424
B,200,128,mohripKShortest20,123083,131747982384
B,200,16,mohripKShortest20,24903,26193004256
B,200,2,mohripKShortest20,8782,9105069152
B,200,256,mohripKShortest20,151469,161776555736
B,200,32,mohripKShortest20,75432,80040447264
B,200,4,mohripKShortest20,8988,9355703512
B,200,64,mohripKShortest20,116122,123555995800
B,200,8,mohripKShortest20,13913,14596354048
B,250,128,mohripKShortest20,245812,265878634624
B,250,16,mohripKShortest20,32838,34882501232
B,250,2,mohripKShortest20,7887,8623456504
B,250,256,mohripKShortest20,279595,303376876360
B,250,32,mohripKShortest20,65381,70360478544
B,250,4,mohripKShortest20,11841,12608720688
B,250,64,mohripKShortest20,100024,107197963008
B,250,8,mohripKShortest20,30521,32367126464
B,300,128,mohripKShortest20,324613,340861366064
B,300,16,mohripKShortest20,67879,69384920616
B,300,2,mohripKShortest20,15284,15911780688
B,300,256,mohripKShortest20,492443,520236858272
B,300,32,mohripKShortest20,84916,87443507824
B,300,4,mohripKShortest20,18263,18985342160
B,300,64,mohripKShortest20,147129,152706622048
B,300,8,mohripKShortest20,22968,23402183568
B,350,128,mohripKShortest20,420904,453487011888
B,350,16,mohripKShortest20,58950,63196425464
B,350,2,mohripKShortest20,17999,18753027232
B,350,256,mohripKShortest20,701610,721810268432
B,350,32,mohripKShortest20,109526,112974664016
B,350,4,mohripKShortest20,26061,26799197040
B,350,64,mohripKShortest20,278616,306512360168
B,350,8,mohripKShortest20,41309,44417992248
B,400,128,mohripKShortest20,548153,614318072936
B,400,16,mohripKShortest20,54635,59750246120
B,400,2,mohripKShortest20,39212,40054688176
B,400,256,mohripKShortest20,1234507,1323577671120
B,400,32,mohripKShortest20,171118,177843042448
B,400,4,mohripKShortest20,31507,32633790248
B,400,64,mohripKShortest20,190391,205842738336
B,400,8,mohripKShortest20,39868,42539412856
B,50,128,mohripKShortest20,9847,9862365440
B,50,16,mohripKShortest20,4195,4145182456
B,50,2,mohripKShortest20,1096,1059712936
B,50,256,mohripKShortest20,9621,9389787936
B,50,32,mohripKShortest20,4525,4431242224
B,50,4,mohripKShortest20,609,616230344
B,50,64,mohripKShortest20,7400,7319920176
B,50,8,mohripKShortest20,1995,1997087168
C,100,128,mohripKShortest20,58497,58395108896
C,100,16,mohripKShortest20,9256,9179911480
C,100,2,mohripKShortest20,2361,2337564968
C,100,256,mohripKShortest20,38683,38515421504
C,100,32,mohripKShortest20,13650,13417904728
C,100,4,mohripKShortest20,2064,2012575920
C,100,64,mohripKShortest20,38831,38622608736
C,100,8,mohripKShortest20,4239,4181817856
C,150,128,mohripKShortest20,110879,111117442016
C,150,16,mohripKShortest20,15451,15562090464
C,150,2,mohripKShortest20,3398,3070093224
C,150,256,mohripKShortest20,110500,108739189392
C,150,32,mohripKShortest20,31923,32025332928
C,150,4,mohripKShortest20,8031,7880317656
C,150,64,mohripKShortest20,53303,53344676864
C,150,8,mohripKShortest20,4025,4012127856
C,200,128,mohripKShortest20,176914,180796728144
C,200,16,mohripKShortest20,15647,15941756912
C,200,2,mohripKShortest20,7392,6390073816
C,200,256,mohripKShortest20,281647,261772657280
C,200,32,mohripKShortest20,39604,36131412008
C,200,4,mohripKShortest20,8431,7168667344
C,200,64,mohripKShortest20,85223,85645619240
C,200,8,mohripKShortest20,20996,20980628504
C,250,128,mohripKShortest20,226397,234524229288
C,250,16,mohripKShortest20,20882,21261881224
C,250,2,mohripKShortest20,11653,11800252880
C,250,256,mohripKShortest20,284484,293098542112
C,250,32,mohripKShortest20,60537,61525736800
C,250,4,mohripKShortest20,8818,9209121768
C,250,64,mohripKShortest20,116880,119613763656
C,250,8,mohripKShortest20,21684,21923715600
C,300,128,mohripKShortest20,334182,351702185440
C,300,16,mohripKShortest20,37097,38116134984
C,300,2,mohripKShortest20,15647,15743757416
C,300,256,mohripKShortest20,489870,507227658344
C,300,32,mohripKShortest20,56476,50827100352
C,300,4,mohripKShortest20,23130,22870831384
C,300,64,mohripKShortest20,150109,151040500480
C,300,8,mohripKShortest20,25410,24262311304
C,350,128,mohripKShortest20,338295,327568184224
C,350,16,mohripKShortest20,62788,62509798344
C,350,2,mohripKShortest20,18626,19575375256
C,350,256,mohripKShortest20,726906,754133550144
C,350,32,mohripKShortest20,124945,131372442192
C,350,4,mohripKShortest20,22484,23550948104
C,350,64,mohripKShortest20,167919,178703685400
C,350,8,mohripKShortest20,27870,29607430624
C,400,128,mohripKShortest20,289642,314654415336
C,400,16,mohripKShortest20,52176,56076375504
C,400,2,mohripKShortest20,24670,26833634752
C,400,256,mohripKShortest20,538234,590968248264
C,400,32,mohripKShortest20,121067,129066083072
C,400,4,mohripKShortest20,28374,30739122984
C,400,64,mohripKShortest20,163315,175636001064
C,400,8,mohripKShortest20,34086,36928405744
C,50,128,mohripKShortest20,11429,11310797488
C,50,16,mohripKShortest20,2465,2400015632
C,50,2,mohripKShortest20,475,465303408
C,50,256,mohripKShortest20,11892,11805999616
C,50,32,mohripKShortest20,8624,8525399856
C,50,4,mohripKShortest20,1864,1803012840
C,50,64,mohripKShortest20,6688,6669761368
C,50,8,mohripKShortest20,3143,3058071624
U,100,1,mohripKShortest20,1631,1628406944
U,150,1,mohripKShortest20,3461,3477039232
U,200,1,mohripKShortest20,6018,6183244024
U,250,1,mohripKShortest20,9413,9873022304
U,300,1,mohripKShortest20,13882,14672402712
U,350,1,mohripKShortest20,19499,20707317024
U,400,1,mohripKShortest20,25898,28103825376
U,50,1,mohripKShortest20,519,511390720
